證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用模型,特徵選擇方法,排名
1110,東泥         ,199812,6104,7.49,0.178766186752368,0.50574,1.7179,0.024998,0.029408,0.14105,0.09977,0.1764,661.94,456.29,2.67,4.27,-18.47,-38.28,-7.2096,-1,1998,0.99875,1997,1998,RandomForest,f_classif,1
1462,東雲         ,199812,13667,32.12,0.47992214114606,2.9768,5.3802,-0.026544,-0.072583,-0.042316,-0.13111,1.7345,97.35,7.07,0.45,7.25,-139.63,-255.89,-12.1731,-1,1998,0.99875,1997,1998,RandomForest,f_classif,2
2102,泰豐         ,199812,10923,26.88,0.518594942510538,2.0395,1.8348,0.094047,0.15343,-0.0082076,0.13804,0.63148,108.57,80.25,8.21,5.72,-270.16,117.41,-35.1935,-1,1998,0.99875,1997,1998,RandomForest,f_classif,3
1716,永信         ,199812,13321,31.84,0.805489424529686,1.557,2.0088,0.079881,0.10421,0.1952,0.13752,0.30453,230.3,144.93,1.3,3.08,35.43,5.11,-52.544,-1,1998,0.98,1997,1998,RandomForest,f_classif,4
2311,日月光       ,199812,96120,15.76,0.550156342898422,1.2823,1.3516,0.034119,0.065988,0.13683,0.077253,0.93408,145.36,120.93,8.13,5.37,-19.33,-72.55,130.6472,1,1998,0.9578417228417229,1997,1998,RandomForest,f_classif,5
2324,仁寶         ,199812,88918,16.84,0.301246330279491,0.63,0.36293,0.16212,0.21551,0.12078,0.12424,0.32928,297.97,240.99,11.32,8.61,130.14,42.72,39.4893,1,1998,0.9578417228417229,1997,1998,RandomForest,f_classif,6
1460,宏遠         ,199812,13342,18.8,0.859442305646212,1.2842,0.96164,0.092244,0.13135,0.10292,0.098325,0.4239,190.7,90.42,3.97,6.76,25.27,18.68,-54.6809,-1,1998,0.9525958476580237,1997,1998,RandomForest,f_classif,7
2705,六福         ,199812,15336,54.99,0.903720560556316,2.467,6.4241,0.051366,0.065377,0.22025,0.17022,0.27277,40.88,18.94,47.89,118.43,-12.17,-12.33,-64.3935,-1,1998,0.9519548872180451,1997,1998,RandomForest,f_classif,8
2343,精業         ,199812,19448,21.98,0.395515215668593,0.94701,0.96193,0.085972,0.11469,0.092912,0.1165,0.33399,338.54,234.42,4.25,5.76,57.41,69.82,254.2311,1,1998,0.9405594405594405,1997,1998,RandomForest,f_classif,9
1717,長興         ,199812,14452,9.72,0.197809826685929,0.50077,0.30065,0.065363,0.12739,0.101,0.076487,0.94899,134.55,90.4,5.71,4.36,12.6,2.42,8.2305,-1,1998,0.94,1997,1998,RandomForest,f_classif,10
