證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,PE_ratio,PB_ratio,PS_ratio,ROE,ROA,OPM,NPM,DE_ratio,CR,QR,ITR,RTR,OIG,NIG,profitability_score,liquidity_score,efficiency_score,growth_score,valuation_score,predicted_return,訓練年份,測試年份,使用C參數,使用gamma參數,使用epsilon參數,排名
5313,皇旗         ,199812,9428,35.59,0.015487125636019,2.2327,0.74503,0.032553,0.08949,0.056824,0.029862,1.749,171.17,94.72,3.41,3.31,42.35,86.54,-24.6979,-1,1998,0.4112549062716096,2.2327,0.74503,0.032553,0.08949,0.056824,0.029862,1.749,171.17,94.72,3.41,3.31,42.35,86.54,0.05218225,132.945,3.3600000000000003,64.44500000000001,1.4888649999999999,-1.8896105053371706,1997,1998,295.21245747221246,9.500254007148152,0.019170531585929167,1
2343,精業         ,199812,19448,21.98,0.395515215668593,0.94701,0.96193,0.085972,0.11469,0.092912,0.1165,0.33399,338.54,234.42,4.25,5.76,57.41,69.82,254.2311,1,1998,0.31480950566013316,0.94701,0.96193,0.085972,0.11469,0.092912,0.1165,0.33399,338.54,234.42,4.25,5.76,57.41,69.82,0.1025185,286.48,5.005,63.614999999999995,0.9544699999999999,-3.442273465128796,1997,1998,295.21245747221246,9.500254007148152,0.019170531585929167,2
5007,三星         ,199812,7938,21.61,0.999080394761361,1.2006,0.86302,0.055081,0.10512,0.093426,0.075589,0.90854,85.48,45.86,5.23,6.83,73.85,76.69,-71.3096,-1,1998,0.28178380125461205,1.2006,0.86302,0.055081,0.10512,0.093426,0.075589,0.90854,85.48,45.86,5.23,6.83,73.85,76.69,0.082304,65.67,6.03,75.27,1.03181,-10.266549305256818,1997,1998,295.21245747221246,9.500254007148152,0.019170531585929167,3
2355,敬鵬         ,199812,9293,15.84,0.106216344928664,0.52712,0.6807,0.07771,0.099214,0.10331,0.12813,0.27672,268.7,240.58,11.4,4.69,23.98,21.12,-2.5884,-1,1998,0.7499999644886379,0.52712,0.6807,0.07771,0.099214,0.10331,0.12813,0.27672,268.7,240.58,11.4,4.69,23.98,21.12,0.10209099999999999,254.64,8.045,22.55,0.60391,-10.404702164966038,1997,1998,295.21245747221246,9.500254007148152,0.019170531585929167,4
2316,楠梓電       ,199812,22206,41.74,0.963088539286913,2.315,1.9838,0.093412,0.16429,0.1518,0.15541,0.75877,93.06,61.37,7.0,5.55,51.55,49.23,-20.4121,-1,1998,0.8478569805432262,2.315,1.9838,0.093412,0.16429,0.1518,0.15541,0.75877,93.06,61.37,7.0,5.55,51.55,49.23,0.141228,77.215,6.275,50.39,2.1494,-12.224492442309197,1997,1998,295.21245747221246,9.500254007148152,0.019170531585929167,5
1460,宏遠         ,199812,13342,18.8,0.859442305646212,1.2842,0.96164,0.092244,0.13135,0.10292,0.098325,0.4239,190.7,90.42,3.97,6.76,25.27,18.68,-54.6809,-1,1998,1.006423928992295,1.2842,0.96164,0.092244,0.13135,0.10292,0.098325,0.4239,190.7,90.42,3.97,6.76,25.27,18.68,0.10620975,140.56,5.365,21.975,1.1229200000000001,-12.632644101281159,1997,1998,295.21245747221246,9.500254007148152,0.019170531585929167,6
2368,金像電       ,199812,14893,26.19,0.334163052737496,0.74151,0.83275,0.078152,0.1046,0.12214,0.11746,0.33843,204.37,177.12,10.78,4.92,15.23,11.61,-8.0565,-1,1998,2.2558137591891683,0.74151,0.83275,0.078152,0.1046,0.12214,0.11746,0.33843,204.37,177.12,10.78,4.92,15.23,11.61,0.105588,190.745,7.85,13.42,0.78713,-13.038238981437686,1997,1998,295.21245747221246,9.500254007148152,0.019170531585929167,7
5604,中連         ,199812,6678,13.12,0.730248792267598,0.91684,1.5046,0.042965,0.064843,0.14661,0.10642,0.50922,257.01,250.91,0.0,4.89,-3.79,-5.58,-51.2957,-1,1998,-2.351254901658584,0.91684,1.5046,0.042965,0.064843,0.14661,0.10642,0.50922,257.01,250.91,0.0,4.89,-3.79,-5.58,0.0902095,253.95999999999998,2.445,-4.6850000000000005,1.21072,-14.192602005319902,1997,1998,295.21245747221246,9.500254007148152,0.019170531585929167,8
2104,中橡         ,199812,9711,17.7,0.80336439160244,0.81831,0.63102,0.018682,0.042352,0.061287,0.040643,1.267,120.83,88.78,7.48,4.93,-1.66,-40.7,-9.661,-1,1998,-0.4348894455746792,0.81831,0.63102,0.018682,0.042352,0.061287,0.040643,1.267,120.83,88.78,7.48,4.93,-1.66,-40.7,0.040741,104.805,6.205,-21.18,0.724665,-14.563314254588805,1997,1998,295.21245747221246,9.500254007148152,0.019170531585929167,9
2321,東訊         ,199812,7369,22.22,0.156404952226563,1.5126,0.45062,0.083098,0.14814,0.029627,0.047433,0.78275,156.07,86.4,5.31,6.01,101.32,53.11,72.1872,1,1998,0.4183769456151959,1.5126,0.45062,0.083098,0.14814,0.029627,0.047433,0.78275,156.07,86.4,5.31,6.01,101.32,53.11,0.0770745,121.235,5.66,77.215,0.98161,-14.930777896897975,1997,1998,295.21245747221246,9.500254007148152,0.019170531585929167,10
